名稱,高度,等,TWD97緯度,TWD97經度,所在地
石頭坑,237.06 ,Ⅱ,24.80299869 ,121.07392264 ,新埔 芎林
大湖桶山,722.59 ,Ⅱ,24.63658019 ,121.65308642 ,三星 宜蘭大同
四十張,45.53 ,Ⅱ,24.99664492 ,121.47872094 ,中和
羅厝,21.11 ,Ⅱ,23.75824158 ,120.37675114 ,崙背
東港大橋,2.00 ,Ⅱ,22.47659200 ,120.46008000 ,東港
昌南,17.04 ,Ⅱ,23.69729778 ,120.26048775 ,雲林東勢
咬狗,221.71 ,Ⅱ,23.72262914 ,120.60979772 ,斗六 林內
樹子腳,43.49 ,Ⅱ,23.77707622 ,120.52037997 ,荊桐
八分寮,207.25 ,Ⅱ,24.71906189 ,120.99896397 ,寶山
三洽水,398.21 ,Ⅱ,24.86716306 ,121.18447625 ,龍潭
粗坑崙,688.62 ,Ⅱ,24.95075197 ,121.65366900 ,石碇
高埔,232.81 ,Ⅱ,24.50650736 ,120.76087942 ,通霄 西湖
獅公髻尾山,839.82 ,Ⅱ,24.97477783 ,121.71819758 ,石碇 平溪 坪林 
網弦山,63.88 ,Ⅱ,24.66008153 ,120.82983053 ,後龍
溪子口山,142.65 ,Ⅱ,24.99253239 ,121.54865642 ,文山
竹子山北峰,"1,079.20 ",Ⅱ,25.21814028 ,121.56735414 ,金山
直潭山,728.84 ,Ⅱ,24.92084975 ,121.56765408 ,新店
大湖口,183.29 ,Ⅱ,24.85930258 ,121.05190739 ,湖口
頭前,2.60 ,Ⅱ,25.06195633 ,121.45727689 ,新莊
托皿山,157.18 ,Ⅱ,24.55596692 ,120.84630422 ,頭屋 公館
阿丹,45.09 ,Ⅱ,23.66068483 ,120.50150997 ,斗南
王爺坑,462.03 ,Ⅱ,24.76652242 ,121.11897983 ,芎林 關西
車坪寮山,699.31 ,Ⅱ,25.13132394 ,121.60825803 ,萬里 汐止
崙坪,101.66 ,Ⅱ,25.00331967 ,121.16367914 ,觀音
北坑,198.42 ,Ⅱ,24.64672717 ,120.93403461 ,三灣
水汴頭,254.44 ,Ⅱ,25.02633083 ,121.32456133 ,桃園 龜山
瑪陵尖,230.39 ,Ⅱ,25.10891789 ,121.69920445 ,七堵
金面山,667.45 ,Ⅱ,24.86649861 ,121.33545294 ,大溪
尖筆山,102.49 ,Ⅱ,24.72066225 ,120.89855878 ,竹南
三尖山,418.22 ,Ⅱ,24.59016500 ,120.93749444 ,造橋 獅壇
蚊港,18.10 ,Ⅱ,23.75089861 ,120.22703639 ,台西
